,ID hecho,AAA,MM,DD,FECHA ,VEHICULO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,GRAVEDAD
297,LC-2019-0023777,2019,1,12,2019-01-12,,Varon,52.0,
298,LC-2019-0023860,2019,1,12,2019-01-12,,Varon,34.0,
299,LC-2019-0023860,2019,1,12,2019-01-12,,Varon,34.0,
300,LC-2019-0023868,2019,1,12,2019-01-12,,Varon,33.0,
301,LC-2019-0023906,2019,1,12,2019-01-12,,Mujer,39.0,
302,LC-2019-0023906,2019,1,12,2019-01-12,,Varon,39.0,
303,LC-2019-0023906,2019,1,12,2019-01-12,,Mujer,,
304,LC-2019-0023906,2019,1,12,2019-01-12,,Varon,27.0,
305,LC-2019-0023906,2019,1,12,2019-01-12,,Varon,31.0,
306,LC-2019-0024132,2019,1,12,2019-01-12,,Varon,,
307,LC-2019-0024257,2019,1,12,2019-01-12,,Mujer,70.0,
308,LC-2019-0024265,2019,1,12,2019-01-12,,Mujer,32.0,
309,LC-2019-0024269,2019,1,12,2019-01-12,,Varon,25.0,
310,LC-2019-0024408,2019,1,12,2019-01-12,,Varon,27.0,
311,LC-2019-0024465,2019,1,12,2019-01-12,,Varon,47.0,
312,LC-2019-0024488,2019,1,12,2019-01-12,,Varon,50.0,
313,LC-2019-0024600,2019,1,12,2019-01-12,,Mujer,35.0,
314,LC-2019-0024719,2019,1,12,2019-01-12,,Varon,25.0,
315,LC-2019-0024752,2019,1,12,2019-01-12,,Varon,54.0,
316,LC-2019-0024755,2019,1,12,2019-01-12,,Varon,34.0,
317,LC-2019-0024755,2019,1,12,2019-01-12,,Mujer,34.0,
318,LC-2019-0024778,2019,1,12,2019-01-12,,Mujer,38.0,
319,LC-2019-0025473,2019,1,12,2019-01-12,,Varon,75.0,
320,LC-2019-0033162,2019,1,12,2019-01-12,,Mujer,58.0,
321,LC-2019-0267484,2019,1,12,2019-01-12,,Varon,31.0,
322,LC-2019-0757409,2019,1,12,2019-01-12,,varon,59.0,
323,LC-2019-0024930,2019,1,13,2019-01-13,,Varon,73.0,
324,LC-2019-0025033,2019,1,13,2019-01-13,,Mujer,41.0,
325,LC-2019-0025067,2019,1,13,2019-01-13,,Varon,31.0,
326,LC-2019-0025088,2019,1,13,2019-01-13,,Varon,42.0,
327,LC-2019-0025109,2019,1,13,2019-01-13,,Varon,45.0,
328,LC-2019-0025109,2019,1,13,2019-01-13,,Mujer,45.0,
329,LC-2019-0025134,2019,1,13,2019-01-13,,Mujer,33.0,
330,LC-2019-0025154,2019,1,13,2019-01-13,,Mujer,28.0,
331,LC-2019-0025411,2019,1,13,2019-01-13,,Mujer,33.0,
332,LC-2019-0025411,2019,1,13,2019-01-13,,Varon,33.0,
333,LC-2019-0025411,2019,1,13,2019-01-13,,Varon,,
334,LC-2019-0642028,2019,10,14,2019-10-14,,Varon,20.0,
335,LC-2019-0025428,2019,1,13,2019-01-13,,Mujer,41.0,
336,LC-2019-0025428,2019,1,13,2019-01-13,,Mujer,41.0,
337,LC-2019-0025548,2019,1,13,2019-01-13,,Varon,21.0,
338,LC-2019-0025548,2019,1,13,2019-01-13,,Varon,21.0,
339,LC-2019-0378357,2019,6,18,2019-06-18,,Varon,37.0,
340,LC-2019-0025730,2019,1,13,2019-01-13,,Varon,64.0,
341,LC-2019-0025730,2019,1,13,2019-01-13,,Varon,64.0,
