,ID hecho,MM,FECHA ,VEHICULO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,AÑO,semestre
17596,LC-2020-0550052,10,2020-10-04,,Varon,35.0,2020,S2H2
17597,LC-2020-0560614,10,2020-10-10,,Varon,32.0,2020,S2H2
17598,LC-2020-0560614,10,2020-10-10,,Varon,36.0,2020,S2H2
17599,LC-2020-0565602,10,2020-10-14,,Varon,25.0,2020,S2H2
17600,LC-2020-0567637,10,2020-10-15,,Varon,28.0,2020,S2H2
17601,LC-2020-0633446,11,2020-11-27,CICLISTA,Varon,25.0,2020,S2H2
17602,LC-2020-0641055,12,2020-12-03,,Mujer,40.0,2020,S2H2
17603,LC-2020-0668270,12,2020-12-21,,Varon,54.0,2020,S2H2
17604,LC-2020-0668270,12,2020-12-21,,Varon,16.0,2020,S2H2
17605,LC-2020-0684561,12,2020-12-31,,Mujer,64.0,2020,S2H2
17606,LC-2020-0024867,1,2020-01-13,CICLISTA,Varon,43.0,2020,S2H1
17607,LC-2020-0073707,2,2020-02-04,TAXI,Mujer,56.0,2020,S2H1
17608,LC-2020-0146625,3,2020-03-06,CICLISTA,Varon,36.0,2020,S2H1
17609,LC-2020-0159164,3,2020-03-12,MOTO,Varon,26.0,2020,S2H1
17610,LC-2020-0188149,4,2020-04-03,MOTO,Varon,41.0,2020,S2H1
17611,LC-2020-0284783,6,2020-06-06,AUTO,Mujer,25.0,2020,S2H1
17612,LC-2020-0295044,6,2020-06-11,PEATON,Varon,32.0,2020,S2H1
17613,LC-2020-0372270,6,2020-06-28,PEATON,Mujer,44.0,2020,S2H1
17614,LC-2020-0459874,7,2020-07-31,MOTO,,,2020,S2H2
17615,LC-2020-0486798,8,2020-08-20,AUTO,Varon,36.0,2020,S2H2
17616,LC-2020-0525580,9,2020-09-18,TAXI,Varon,67.0,2020,S2H2
17617,LC-2020-0624713,11,2020-11-21,MOTO,Mujer,32.0,2020,S2H2
17618,LC-2020-0624713,11,2020-11-21,MOTO,Mujer,37.0,2020,S2H2
17619,LC-2020-0655486,12,2020-12-13,AUTO,Varon,38.0,2020,S2H2
17620,LC-2020-0676479,12,2020-12-26,,Mujer,35.0,2020,S2H2
17621,LC-2020-0681855,12,2020-12-29,,Varon,33.0,2020,S2H2
17622,LC-2020-0683631,12,2020-12-30,,Mujer,26.0,2020,S2H2
17623,LC-2020-0005966,1,2020-01-03,MOTO,Varon,33.0,2020,S2H1
17624,LC-2020-0006180,1,2020-01-03,MOTO,,37.0,2020,S2H1
17625,LC-2020-0020585,1,2020-01-10,,Varon,69.0,2020,S2H1
17626,LC-2020-0068862,2,2020-02-01,MOTO,Varon,30.0,2020,S2H1
17627,LC-2020-0095423,2,2020-02-13,MOTO,Varon,39.0,2020,S2H1
17628,LC-2020-0102258,2,2020-02-16,AUTO,Varon,31.0,2020,S2H1
17629,LC-2020-0104864,2,2020-02-17,AUTO,Varon,29.0,2020,S2H1
17630,LC-2020-0111656,2,2020-02-20,MOTO,Varon,20.0,2020,S2H1
17631,LC-2020-0122572,2,2020-02-26,AUTO,Mujer,36.0,2020,S2H1
17632,LC-2020-0133793,3,2020-03-02,CICLISTA,Varon,26.0,2020,S2H1
17633,LC-2020-0134156,3,2020-03-02,MOTO,Varon,20.0,2020,S2H1
17634,LC-2020-0144200,3,2020-03-05,MOTO,Varon,32.0,2020,S2H1
17635,LC-2020-0166467,3,2020-03-15,TAXI,Varon,40.0,2020,S2H1
17636,LC-2020-0333632,6,2020-06-22,MOTO,Varon,66.0,2020,S2H1
17637,LC-2020-0370696,6,2020-06-27,AUTO,,,2020,S2H1
17638,LC-2020-0385712,7,2020-07-01,MOTO,Varon,47.0,2020,S2H2
17639,LC-2020-0390039,7,2020-07-03,MOTO,,,2020,S2H2
17640,LC-2020-0410429,7,2020-07-04,AUTO,Varon,22.0,2020,S2H2
17641,LC-2020-0459319,7,2020-07-31,AUTO,Varon,34.0,2020,S2H2
17642,LC-2020-0459903,7,2020-07-31,,,37.0,2020,S2H2
17643,LC-2020-0459903,7,2020-07-31,,Varon,,2020,S2H2
17644,LC-2020-0470641,8,2020-08-08,MOVIL,,,2020,S2H2
17645,LC-2020-0478682,8,2020-08-13,UTILITARIO,varon,52.0,2020,S2H2
17646,LC-2020-0478682,8,2020-08-13,UTILITARIO,Varon,52.0,2020,S2H2
17647,LC-2020-0480109,8,2020-08-14,AUTO,Varon,39.0,2020,S2H2
17648,LC-2020-0490183,8,2020-08-22,AUTO,Mujer,26.0,2020,S2H2
17649,LC-2020-0503907,9,2020-09-02,,Varon,64.0,2020,S2H2
17650,LC-2020-0503907,9,2020-09-02,,Varon,32.0,2020,S2H2
17651,LC-2020-0517910,9,2020-09-13,PEATON,Mujer,51.0,2020,S2H2
17652,LC-2020-0542941,9,2020-09-29,,Mujer,36.0,2020,S2H2
17653,LC-2020-0546168,10,2020-10-01,,,,2020,S2H2
17654,LC-2020-0550634,10,2020-10-04,,Varon,25.0,2020,S2H2
17655,LC-2020-0550634,10,2020-10-04,,Mujer,22.0,2020,S2H2
17656,LC-2020-0550634,10,2020-10-04,,Varon,26.0,2020,S2H2
17657,LC-2020-0559287,10,2020-10-09,,Mujer,36.0,2020,S2H2
17658,LC-2020-0568376,10,2020-10-16,,Varon,71.0,2020,S2H2
17659,LC-2020-0572012,10,2020-10-19,,Mujer,6.0,2020,S2H2
17660,LC-2020-0572012,10,2020-10-19,,Mujer,13.0,2020,S2H2
17661,LC-2020-0579505,10,2020-10-23,,Mujer,33.0,2020,S2H2
17662,LC-2020-0579505,10,2020-10-23,,Mujer,24.0,2020,S2H2
17663,LC-2020-0579505,10,2020-10-23,,Varon,25.0,2020,S2H2
17664,LC-2020-0579505,10,2020-10-23,,Mujer,47.0,2020,S2H2
17665,LC-2020-0579505,10,2020-10-23,,Varon,54.0,2020,S2H2
17666,LC-2020-0585023,10,2020-10-27,,,,2020,S2H2
17667,LC-2020-0591586,11,2020-11-01,AUTO,Varon,18.0,2020,S2H2
17668,LC-2020-0591586,11,2020-11-01,AUTO,Mujer,19.0,2020,S2H2
17669,LC-2020-0591586,11,2020-11-01,AUTO,Mujer,22.0,2020,S2H2
17670,LC-2020-0591586,11,2020-11-01,AUTO,Mujer,18.0,2020,S2H2
17671,LC-2020-0591586,11,2020-11-01,AUTO,Mujer,17.0,2020,S2H2
17672,LC-2020-0625398,11,2020-11-22,MOTO,Mujer,21.0,2020,S2H2
17673,LC-2020-0625398,11,2020-11-22,MOTO,Varon,24.0,2020,S2H2
17674,LC-2020-0625406,11,2020-11-22,AUTO,Varon,33.0,2020,S2H2
17675,LC-2020-0639355,12,2020-12-02,,Mujer,67.0,2020,S2H2
17676,LC-2020-0639355,12,2020-12-02,,Mujer,73.0,2020,S2H2
17677,LC-2020-0644810,12,2020-12-05,AUTO,,21.0,2020,S2H2
17678,LC-2020-0653336,12,2020-12-11,,Varon,,2020,S2H2
17679,LC-2020-0657579,12,2020-12-14,,Varon,36.0,2020,S2H2
17680,LC-2020-0658068,12,2020-12-14,,Varon,27.0,2020,S2H2
17681,LC-2020-0661296,12,2020-12-16,MOTO,,,2020,S2H2
17682,LC-2020-0669209,12,2020-12-21,,Mujer,49.0,2020,S2H2
17683,LC-2020-0669824,12,2020-12-21,,Mujer,9.0,2020,S2H2
17684,LC-2020-0671332,12,2020-12-22,,Varon,22.0,2020,S2H2
17685,LC-2020-0672126,12,2020-12-22,,Mujer,28.0,2020,S2H2
17686,LC-2020-0675974,12,2020-12-26,,Varon,27.0,2020,S2H2
17687,LC-2020-0008263,1,2020-01-05,AUTO,,,2020,S2H1
17688,LC-2020-0032603,1,2020-01-16,CICLISTA,Varon,34.0,2020,S2H1
17689,LC-2020-0039180,1,2020-01-19,,Mujer,40.0,2020,S2H1
17690,LC-2020-0039180,1,2020-01-19,,Varon,31.0,2020,S2H1
17691,LC-2020-0039180,1,2020-01-19,,Mujer,72.0,2020,S2H1
17692,LC-2020-0039180,1,2020-01-19,,Varon,40.0,2020,S2H1
17693,LC-2020-0039180,1,2020-01-19,,Varon,11.0,2020,S2H1
17694,LC-2020-0039180,1,2020-01-19,,Varon,49.0,2020,S2H1
17695,LC-2020-0057321,1,2020-01-28,MOTO,Varon,40.0,2020,S2H1
17696,LC-2020-0062514,1,2020-01-29,MOTO,Varon,19.0,2020,S2H1
17697,LC-2020-0067883,2,2020-02-01,MOTO,,,2020,S2H1
17698,LC-2020-0067883,2,2020-02-01,MOTO,,,2020,S2H1
17699,LC-2020-0101203,2,2020-02-16,AUTO,Mujer,22.0,2020,S2H1
17700,LC-2020-0102438,2,2020-02-17,MOTO,,,2020,S2H1
17701,LC-2020-0118645,2,2020-02-23,PEATON,,,2020,S2H1
17702,LC-2020-0134625,3,2020-03-02,AUTO,Varon,41.0,2020,S2H1
17703,LC-2020-0134997,3,2020-03-02,CICLISTA,Mujer,26.0,2020,S2H1
17704,LC-2020-0158492,3,2020-03-11,AUTO,,,2020,S2H1
17705,LC-2020-0217955,4,2020-04-27,MOTO,Varon,30.0,2020,S2H1
17706,LC-2020-0232887,5,2020-05-09,MOTO,,33.0,2020,S2H1
17707,LC-2020-0234222,5,2020-05-10,MOTO,Varon,41.0,2020,S2H1
17708,LC-2020-0268578,5,2020-05-30,MOTO,Varon,28.0,2020,S2H1
17709,LC-2020-0388842,7,2020-07-02,CICLISTA,Mujer,35.0,2020,S2H2
17710,LC-2020-0460239,8,2020-08-01,MOTO,,,2020,S2H2
17711,LC-2020-0499764,8,2020-08-30,AUTO,Varon,32.0,2020,S2H2
17712,LC-2020-0499764,8,2020-08-30,AUTO,Mujer,45.0,2020,S2H2
17713,LC-2020-0502814,9,2020-09-01,MOTO,Varon,38.0,2020,S2H2
17714,LC-2020-0513184,9,2020-09-09,,Mujer,16.0,2020,S2H2
17715,LC-2020-0569752,10,2020-10-17,,,,2020,S2H2
17716,LC-2020-0597457,11,2020-11-04,TRANSPORTE PUBLICO,,,2020,S2H2
17717,LC-2020-0605424,11,2020-11-10,TRANSPORTE PUBLICO,Varon,54.0,2020,S2H2
17718,HC-2020-0624349,11,2020-11-21,MOTO,Mujer,41.0,2020,S2H2
17719,LC-2020-0652851,12,2020-12-11,,Varon,26.0,2020,S2H2
