,ID_hecho,FECHA,ROL,VICTIMA,SEXO,EDAD,GRAVEDAD
152,2017-0011,2017-01-22,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,29.0,FATAL
153,2017-0012,2017-01-24,CONDUCTOR,MOTO,MASCULINO,30.0,FATAL
154,2017-0013,2017-01-27,PEATON,PEATON,MASCULINO,4.0,FATAL
155,2017-0014,2017-01-28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22.0,FATAL
156,2017-0015,2017-02-02,PEATON,PEATON,MASCULINO,82.0,FATAL
157,2017-0016,2017-02-03,CONDUCTOR,MOTO,MASCULINO,27.0,FATAL
158,2017-0017,2017-02-06,CONDUCTOR,MOTO,MASCULINO,32.0,FATAL
159,2017-0018,2017-02-09,CONDUCTOR,MOTO,MASCULINO,30.0,FATAL
160,2017-0021,2017-02-18,CONDUCTOR,MOTO,MASCULINO,43.0,FATAL
161,2017-0024,2017-02-23,PEATON,PEATON,MASCULINO,39.0,FATAL
162,2017-0025,2017-02-24,CONDUCTOR,MOTO,MASCULINO,23.0,FATAL
